Time	Sunday	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday
00:00	2	2	2	1	3	2	1
01:00	1	1	1	1	3	1	1
02:00	1	1	1	1	2	1	1
03:00	1	1	1	1	1	1	1
04:00	1	1	1	2	2	1	1
05:00	1	1	0	1	2	1	1
06:00	1	1	1	2	2	1	2
07:00	4	6	4	4	4	2	3
08:00	9	7	6	6	9	2	3
09:00	5	12	8	8	6	3	6
10:00	7	7	9	8	8	4	4
11:00	9	11	9	13	12	2	6
12:00	8	11	9	10	9	3	3
13:00	8	12	8	10	10	2	4
14:00	11	14	13	12	12	3	4
15:00	9	12	12	13	9	3	6
16:00	9	13	10	10	9	2	6
17:00	7	11	8	8	6	3	4
18:00	6	7	5	7	6	2	3
19:00	3	4	3	4	3	3	3
20:00	3	4	2	4	2	3	2
21:00	3	2	2	3	2	3	3
22:00	2	2	2	3	1	3	3
23:00	2	3	2	3	2	2	3
