Time	Sunday	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday
00:00	1	1	1	1	1	1	1
01:00	1	1	1	1	1	1	1
02:00	1	1	1	0	1	1	1
03:00	1	1	1	1	1	1	0
04:00	0	0	1	1	1	0	1
05:00	1	0	1	0	1	1	1
06:00	1	1	1	1	1	1	1
07:00	3	2	2	1	3	2	1
08:00	3	2	3	3	4	2	4
09:00	2	4	2	4	3	3	3
10:00	4	3	3	3	4	3	4
11:00	5	5	4	4	7	4	4
12:00	5	4	3	4	3	5	3
13:00	3	4	3	4	5	3	4
14:00	5	5	4	6	6	4	4
15:00	6	6	4	5	5	4	4
16:00	5	5	4	7	4	5	4
17:00	4	4	3	5	4	4	4
18:00	3	3	2	3	3	3	2
19:00	1	2	1	2	2	2	2
20:00	2	1	2	2	2	1	2
21:00	1	2	1	2	2	1	1
22:00	1	1	1	1	1	1	2
23:00	1	1	1	1	1	1	1
