Time	Sunday	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday
00:00	1	1	2	1	1	2	2
01:00	1	1	1	1	1	1	1
02:00	1	1	1	1	1	1	0
03:00	1	1	1	1	1	1	1
04:00	0	1	0	1	0	1	1
05:00	1	0	1	1	1	1	1
06:00	1	2	1	1	2	1	1
07:00	5	3	3	2	4	2	4
08:00	9	4	3	5	4	3	6
09:00	4	5	3	4	6	2	3
10:00	3	6	3	4	4	2	6
11:00	5	5	4	5	8	3	4
12:00	5	5	2	5	4	2	4
13:00	6	5	4	7	6	2	3
14:00	6	7	5	6	7	4	6
15:00	7	12	7	5	5	4	5
16:00	6	9	5	8	5	2	5
17:00	4	5	3	5	5	3	5
18:00	3	3	4	4	4	3	4
19:00	2	2	2	3	3	3	2
20:00	1	2	1	2	2	3	2
21:00	1	2	2	4	2	3	1
22:00	1	2	2	1	1	1	1
23:00	1	1	2	4	2	2	1
